sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
3PLYMASK,,,,,,,,,,,,,,,,,,,"PPE/FACE MASKS",,,,,
SCAPPEGDV,,,,,,,,,,,,,,,,,,,"PPE/SAFETY GOGGLES",,,,,
SCAPPEGIDV,,,,,,,,,,,,,,,,,,,"PPE/SAFETY GOGGLES",,,,,
SCAPPEGMV,,,,,,,,,,,,,,,,,,,"PPE/SAFETY GOGGLES",,,,,
SCAWWDOL,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOL56,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOM,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOM56,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOXL,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOXL56,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOXXL,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SCAWWDOXXL56,,,,,,,,,,,,,,,,,,,"PPE/PROTECTIVE COVERALL",,,,,
SS990,,,,,,,,,,,,,,,,,,,"PPE/FACE MASKS/3-PLY FACE MASKS",,,,,
STNF2LB,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNF2W,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNF3,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNF4,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNF6,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL1,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL112,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL1LB,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL1W,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL2,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL212,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL2LB,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL2W,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL3,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL4,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
STNL6,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
SW001,,,,,,,,,,,,,,,,,,,"PPE/FACE MASKS/ANTIVIRAL MASK",,,,,
UA900BK,,,,,,,,,,,,,,,,,,,"PPE/FACE MASKS/FACE MASKS FOR SPORTS",,,,,
VIT331003,,,,,,,,,,,,,,,,,,,"PPE/PERSONAL PROTECTION EQUIPMENT/MASKS NON-PPE",,,,,
XQ003,,,,,,,,,,,,,,,,,,,"PPE/FACE MASKS/WASHABLE FACE MASKS",,,,,
XQ005,,,,,,,,,,,,,,,,,,,"PPE/FACE MASKS/2-PIECE MASK",,,,,
